Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,2016   Inflation consumer prices (annual %),Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected schooling ,Mean schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Croatia,74.0000,5.4880,5.4020,5.5740,-1.1000,1.0217,0.8270,77.5000,15.3000,11.2000,20291.0000,14.0000,229.0000,13.5890,14.7940,21.0570,23.8090,2.7520
Cyprus,69.0000,5.5460,5.4420,5.6500,-1.4292,0.3970,0.8560,80.3000,14.3000,11.7000,29459.0000,4.0000,0.0000,20.3499,20.3300,15.6770,28.0440,12.3670
Czech Republic,27.0000,6.5960,6.5150,6.6770,0.6394,1.3429,0.8780,78.8000,16.8000,12.3000,28144.0000,11.0000,0.0000,9.2810,10.8220,21.7490,20.1550,-1.5940
Denmark,1.0000,7.5260,7.4600,7.5920,0.2500,1.3585,0.9250,80.4000,19.2000,12.7000,44519.0000,13.0000,0.0000,-14.9273,-16.1215,28.2230,-0.9000,-29.1230
Dominican Republic,89.0000,5.1550,5.0370,5.2730,1.6142,4.1093,0.7220,73.7000,13.2000,7.7000,12756.0000,-13.0000,0.0000,26.2903,26.9650,3.8960,28.0460,24.1500
Ecuador,51.0000,5.9760,5.8800,6.0720,1.7244,3.5911,0.7390,76.1000,14.0000,8.3000,10536.0000,6.0000,14.0000,22.2641,22.5110,1.7400,22.9830,21.2430
Egypt,120.0000,4.3620,4.2590,4.4650,13.8146,10.3110,0.6910,71.3000,13.1000,7.1000,10064.0000,-7.0000,0.0000,24.5053,25.8575,15.8790,30.6710,14.7920
El Salvador,46.0000,6.0680,5.9670,6.1690,0.6039,1.3626,0.6800,73.3000,13.2000,6.5000,7732.0000,-3.0000,15.0000,25.9108,25.7990,2.5050,27.3360,24.8310
Estonia,72.0000,5.5170,5.4370,5.5970,0.1491,2.0320,0.8650,77.0000,16.5000,12.5000,26362.0000,12.0000,0.0000,6.9618,8.8365,24.8180,18.2470,-6.5710
Ethiopia,115.0000,4.5080,4.4250,4.5910,7.2661,13.8574,0.4480,64.6000,8.4000,2.6000,1523.0000,5.0000,10.0000,24.6315,24.5320,2.5180,25.7400,23.2220
Finland,5.0000,7.4130,7.3510,7.4750,0.3570,1.4435,0.8950,81.0000,17.0000,11.2000,38868.0000,1.0000,0.0000,4.0641,5.4390,26.1050,15.9370,-10.1680
France,32.0000,6.4780,6.3970,6.5590,0.1833,1.0279,0.8970,82.4000,16.3000,11.6000,38085.0000,4.0000,1.0000,13.5846,13.0415,15.4320,21.8170,6.3850
Gabon,134.0000,4.1210,4.0300,4.2120,2.1067,1.7624,0.6970,64.9000,12.6000,8.1000,19044.0000,-46.0000,1.0000,24.8385,25.4380,3.5320,26.3680,22.8360
Georgia,126.0000,4.2520,4.1640,4.3400,2.1349,3.3435,0.4520,60.5000,8.9000,3.3000,1541.0000,3.0000,64.0000,10.6866,12.1545,20.0400,19.3080,-0.7320
Germany,16.0000,6.9940,6.9300,7.0580,0.4834,1.1881,0.9260,81.1000,17.1000,13.2000,45000.0000,13.0000,1.0000,9.2353,10.1820,20.4930,19.7620,-0.7310
Ghana,124.0000,4.2760,4.1850,4.3670,17.4739,12.9022,0.5790,61.5000,11.5000,6.9000,3839.0000,5.0000,0.0000,27.7175,27.7785,5.2150,30.2650,25.0500
Greece,99.0000,5.0330,4.9350,5.1310,-0.8257,0.6785,0.8660,81.1000,17.2000,10.5000,24808.0000,16.0000,0.0000,17.1535,17.8355,19.6580,26.5850,6.9270
Guatemala,39.0000,6.3240,6.2130,6.4350,4.4484,4.0652,0.6400,72.1000,10.7000,6.3000,7063.0000,-4.0000,19.0000,24.2913,24.5880,3.7770,25.7040,21.9270
Guinea,151.0000,3.6070,3.5330,3.6810,8.1299,12.8459,0.4140,59.2000,8.8000,2.6000,1058.0000,4.0000,1.0000,26.6868,26.6660,4.7450,29.0650,24.3200
