country,happyra,happysc,2016inflat,avginflat,HDI,expectSchool,meanschool,GNIcap,PA,avgtemp,rangetemp
Kuwait,41,6.239,3.1984,3.5261,0.8,13.3,7.3,76075,1,27.2734,23.795
Kyrgyzstan,85,5.185,0.4217,6.8881,0.664,13,10.8,3097,1,6.2631,27.875
Laos,102,4.876,1.5094,4.4431,0.586,10.8,5.2,5049,0,25.3853,7.534
Latvia,68,5.56,0.1341,0.9266,0.83,16,11.7,22589,0,7.3224,25.305
Lebanon,93,5.129,-0.8148,2.4679,0.763,13.3,8.6,13312,6,19.1783,16.837
Liberia,150,3.622,8.834,8.09,0.427,9.9,4.4,683,30,26.314,2.988
Libya,67,5.615,6.746,6.746,0.716,13.4,7.3,14303,6,24.314,17.082
Lithuania,60,5.813,0.9055,1.3874,0.848,16.5,12.7,26006,0,7.804,24.606
Luxembourg,20,6.871,0.2992,1.6407,0.898,13.9,12,62471,0,9.9003,20.058
Madagascar,148,3.695,6.6548,7.2014,0.512,10.3,6.1,1320,8,22.9595,6.34
Malawi,132,4.156,21.7072,18.7082,0.476,10.8,4.4,1073,0,21.2694,5.507
Malaysia,47,6.005,2.1277,2.2912,0.789,13.1,10.1,24620,0,26.9735,1.306
Mali,135,4.073,-1.8004,1.3308,0.442,8.4,2.3,2218,0,29.942,13.102
Malta,30,6.488,0.5771,1.4314,0.856,14.6,11.3,29500,0,19.4374,15.155
Mauritania,130,4.201,1.486,3.7853,0.513,8.5,4.3,3527,0,29.11,14.269
Mauritius,66,5.648,1.0239,3.1926,0.781,15.2,9.1,17948,0,24.3124,5.546
Mexico,21,6.778,2.8217,3.5776,0.762,13.3,8.6,16383,0,22.2192,10.926
Moldova,55,5.897,6.3841,6.4851,0.699,11.8,11.9,5026,0,11.9605,24.614
Montenegro,88,5.161,0.554,8.9397,0.807,15.1,11.3,15410,0,12.8704,21.704
Morocco,90,5.151,1.6353,1.2435,0.647,12.1,5,7195,11,19.3053,17.047
Namibia,113,4.574,6.712,5.3816,0.64,11.7,6.7,9770,4,21.2659,10.529
Nepal,107,4.793,8.7903,8.8743,0.558,12.2,4.1,2337,51,15.9513,16.747
Netherlands,7,7.339,0.3167,1.496,0.924,18.1,11.9,46326,0,9.8565,16.983
New Zealand,8,7.334,1.0829,1.6064,0.915,19.2,12.5,32870,0,11.0885,9.16
Nicaragua,48,5.992,3.5199,5.9173,0.645,11.7,6.5,4747,8,26.8716,2.416
Niger,142,3.856,0.1708,0.9647,0.353,5.4,1.7,889,4,29.2314,13.83
Nigeria,103,4.875,15.6969,11.1465,0.527,10,6,5443,6,28.0059,5.767
Norway,4,7.498,3.55,2.0414,0.949,17.7,12.7,67614,0,1.7354,20.058
Pakistan,92,5.132,3.7526,8.0937,0.55,8.1,5.1,5031,14,22.3209,21.01
Panama,25,6.701,0.746,3.2288,0.788,13,9.9,19470,0,27.2175,1.12
Paraguay,70,5.538,4.0868,4.5014,0.693,12.3,8.1,8182,0,22.8178,9.896
Peru,64,5.743,3.5957,3.1066,0.74,13.4,9,11295,14,19.9763,2.327
Philippines,82,5.279,1.7668,3.1303,0.682,11.7,9.3,8395,138,27.4168,3.093
Poland,57,5.835,-0.6097,1.4376,0.855,16.4,11.9,24117,0,9.2579,22.99
Portugal,94,5.123,0.6074,1.2744,0.843,16.6,8.9,26104,1,15.8893,14.372
Qatar,36,6.375,2.8755,1.7616,0.856,13.4,9.8,129916,0,28.5738,18.285
Romania,71,5.528,-1.5384,2.5912,0.802,14.7,10.8,19428,0,11.6455,23.291
Russia,56,5.856,7.0498,8.2174,0.804,15,12,23286,71,-2.2631,41.581
Rwanda,152,3.515,5.7255,4.0733,0.498,10.8,3.8,1617,16,20.1039,1.959
Saudi Arabia,34,6.379,3.5235,3.7054,0.847,16.1,9.6,51320,2,27.7408,18.759
Senegal,128,4.219,0.8348,0.9503,0.494,9.5,2.8,2250,2,29.3015,8.273
Serbia,86,5.177,1.1223,5.2717,0.776,14.4,10.8,12202,193,12.8436,22.488
Sierra Leone,111,4.635,10.8833,8.2504,0.42,9.5,3.3,1529,9,26.948,3.596
Singapore,22,6.739,-0.5025,2.1382,0.925,15.4,11.6,78162,0,27.6029,2.099
Slovakia,45,6.078,-0.52,1.2802,0.845,15,12.2,26764,0,9.6856,21.965
Slovenia,63,5.768,-0.0567,1.0908,0.89,17.3,12.1,28664,187,11.7448,21.851
South Africa,116,4.459,6.3263,5.3778,0.666,13,10.3,12087,16,17.3254,11.616
South Korea,57,5.835,0.97,1.9151,0.901,16.6,12.2,34541,4,13.7605,29.55
Spain,37,6.361,-0.2027,1.1424,0.884,17.7,9.8,32779,3,14.8589,17.555
Sri Lanka,117,4.415,3.9879,5.1967,0.766,14,10.9,10789,25,28.1751,3.099
Sudan,133,4.139,17.7503,24.8971,0.49,7.2,3.5,3846,101,28.572,7.558
Suriname,40,6.269,52.3356,13.4571,0.725,12.7,8.3,16018,0,26.9573,1.044
Sweden,10,7.291,0.9843,0.8173,0.913,16.1,12.3,46251,0,4.1998,23.073
Switzerland,2,7.509,-0.4346,-0.2245,0.939,16,13.4,56364,0,8.1775,21.44
Syria,156,3.069,15.2843,15.2843,0.536,9,5.1,2441,19,20.0211,22.035
Tajikistan,100,4.996,6.0046,6.7879,0.627,11.3,10.4,2601,22,6.5626,27.205
Tanzania,149,3.666,5.1703,8.5218,0.531,8.9,5.8,2467,4,22.7728,3.29
Thailand,33,6.474,0.1883,1.9209,0.74,13.6,7.9,14519,1,27.8649,5.512
Togo,155,3.303,0.8544,1.805,0.487,12,4.7,1262,3,27.718,5.181
Tunisia,98,5.045,3.711,4.629,0.725,14.6,7.1,10249,1,21.8871,19.339
Turkey,78,5.389,7.7751,7.9605,0.767,14.6,7.9,18705,0,14.0266,21.736
Uganda,145,3.739,5.4644,7.7443,0.493,10,5.7,1670,26,24.0246,2.405
Ukraine,123,4.324,13.895,13.2037,0.743,15.3,11.3,7361,4,10.9135,24.37
United Arab Emirates,28,6.573,1.6179,1.6503,0.84,13.3,9.5,66203,0,29.3706,16.903
United Kingdom,23,6.725,0.6416,2.1854,0.909,16.3,13.3,37931,36,8.9975,12.909
United States,13,7.104,1.2616,1.6191,0.92,16.5,13.2,53245,3,11.2971,24.229
Uruguay,29,6.545,9.6394,8.3752,0.795,15.5,8.6,19148,0,16.7544,12.057
Venezuela,44,6.084,254.9485,79.2631,0.767,14.3,9.4,15129,1,25.9129,1.329
Vietnam,96,5.061,3.2438,7.3477,0.683,12.6,8,5335,0,25.2321,7.738
Yemen,147,3.724,11.9354,11.9354,0.482,9,3,2300,20,28.1298,10.758
Zambia,106,4.795,17.87,9.1817,0.579,12.5,6.9,3464,4,21.196,5.37
Zimbabwe,131,4.193,-1.5598,1.0986,0.516,10.3,7.7,1588,3,20.7108,7.075
